"Date","Troops","Police","Experts"
2010-12-31,NA,NA,5
2011-01-31,NA,NA,5
2011-02-28,NA,NA,5
2011-03-31,NA,NA,5
2011-04-30,NA,NA,5
2011-05-31,NA,NA,5
2011-06-30,NA,NA,5
2011-07-31,NA,NA,5
2011-08-31,NA,NA,5
2011-09-30,NA,NA,5
2011-10-31,NA,NA,5
2011-11-30,NA,NA,5
2012-02-28,NA,NA,5
2012-03-31,NA,NA,5
2012-04-30,NA,NA,5
2012-05-31,NA,NA,5
2012-06-30,NA,NA,5
2012-07-31,NA,NA,5
2012-08-31,NA,NA,5
2012-09-30,NA,NA,5
2012-10-31,NA,NA,5
2012-11-30,NA,NA,5
2012-12-31,NA,NA,5
2013-01-31,NA,NA,5
2013-03-31,NA,NA,5
2013-04-30,NA,NA,5
2013-05-31,NA,NA,5
2013-06-30,NA,NA,5
2013-07-31,NA,NA,5
2013-08-31,NA,NA,5
2013-09-30,NA,NA,5
2013-10-31,NA,NA,5
2013-11-30,NA,NA,5
2013-12-31,NA,NA,5
2014-01-31,NA,NA,5
2014-02-28,NA,NA,5
